test,method,n_pairs,mean_method,mean_random,mean_diff,t_stat,p_val,p_adj,reject,cohen_d,noise
test,threshold_max,100,64.75772996594168,64.28562347336609,0.47210649257558646,1.4590898858441421,0.0738530135920925,1.0,False,0.1459089885844142,0.09
testAB,aligns,100,69.70058676344023,69.87285356464373,-0.1722668012035129,-0.9061786359982348,0.8164792252856408,1.0,False,-0.09061786359982346,0.09
testAB,grad01_avg,100,69.37720835846063,69.87285356464373,-0.49564520618311003,-2.7241386941851933,0.996188839059625,1.0,False,-0.2724138694185193,0.09
testAB,grad01_max,100,69.23850933778158,69.87285356464373,-0.6343442268621629,-3.2445422990593773,0.9991975641286513,1.0,False,-0.32445422990593775,0.09
testAB,gradient_conf_avg,100,68.9832703902991,69.87285356464373,-0.8895831743446159,-4.1982259262164705,0.99997058623788,1.0,False,-0.419822592621647,0.09
testAB,gradient_conf_max,100,69.22943920833458,69.87285356464373,-0.6434143563091635,-3.276028760438241,0.9992740318825266,1.0,False,-0.32760287604382404,0.09
testAB,gradient_input_avg,100,69.22304403248559,69.87285356464373,-0.6498095321581484,-3.2856093508769124,0.9992959108854208,1.0,False,-0.3285609350876913,0.09
testAB,gradient_input_max,100,69.45809014655397,69.87285356464373,-0.4147634180897648,-2.1034303976708637,0.9810184883313571,1.0,False,-0.2103430397670864,0.09
testAB,hamming_max,100,69.94225740326289,69.87285356464373,0.06940383861912941,0.35619218219568494,0.36122729818010957,1.0,False,0.035619218219568496,0.09
testAB,hamming_min,100,69.13860468980442,69.87285356464373,-0.734248874839319,-3.390508550274932,0.9994983313123572,1.0,False,-0.3390508550274932,0.09
testAB,model_grad_avg,100,68.98299347312599,69.87285356464373,-0.889860091517766,-3.9605046706779445,0.9999294699590376,1.0,False,-0.39605046706779445,0.09
testAB,model_grad_max,100,69.5721429569295,69.87285356464373,-0.30071060771422997,-1.5297481493410918,0.9353659143386492,1.0,False,-0.15297481493410917,0.09
testAB,qbc,100,70.31324538291558,69.87285356464373,0.440391818271845,2.3363409937118327,0.010744610325904031,0.15042454456265644,False,0.23363409937118323,0.09
testAB,threshold_avg,100,70.33652607606075,69.87285356464373,0.4636725114169946,2.2633402545996666,0.012898906185272868,0.18058468659382015,False,0.22633402545996673,0.09
testAB,threshold_max,100,70.0658816271784,69.87285356464373,0.19302806253466848,0.8754487349339407,0.19172443444307824,1.0,False,0.08754487349339406,0.09
testAG,aligns,100,69.83515222380899,69.76640876515701,0.06874345865197291,0.2187007740579383,0.41366668313789734,1.0,False,0.02187007740579383,0.09
testAG,grad01_avg,100,69.41112714196156,69.76640876515701,-0.3552816231954508,-1.2920420292469483,0.9003247300391901,1.0,False,-0.12920420292469484,0.09
testAG,grad01_max,100,69.34356844173575,69.76640876515701,-0.4228403234212699,-1.473592960953202,0.9281180902604573,1.0,False,-0.14735929609532022,0.09
testAG,gradient_conf_avg,100,69.12218172731781,69.76640876515701,-0.6442270378392085,-2.2735911485046523,0.9874248556978208,1.0,False,-0.22735911485046523,0.09
testAG,gradient_conf_max,100,69.45478260920636,69.76640876515701,-0.31162615595066306,-1.0833003403576593,0.8593467570745214,1.0,False,-0.10833003403576595,0.09
testAG,gradient_input_avg,100,69.31893981602727,69.76640876515701,-0.4474689491297575,-1.6814355843015245,0.9520847422690568,1.0,False,-0.16814355843015244,0.09
testAG,gradient_input_max,100,69.65378479393132,69.76640876515701,-0.11262397122568509,-0.40703836812504735,0.6575707384606182,1.0,False,-0.04070383681250474,0.09
